IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.100.8,,443,tcp,5.0,Medium,"Mitigation","Source Control Management (SCM) Files Accessible","The script attempts to identify files of a SCM accessible
  at the webserver.","The following SCM files were identified:

https://192.168.100.8/zapwave/.svn/wc.db
https://192.168.100.8/mutillidae/.git/config
https://192.168.100.8/mutillidae/.git/description
https://192.168.100.8/mutillidae/.git/HEAD
https://192.168.100.8/MCIR/.git/config
https://192.168.100.8/MCIR/.git/description
https://192.168.100.8/MCIR/.git/HEAD
https://192.168.100.8/dvwa/.git/config
https://192.168.100.8/dvwa/.git/description
https://192.168.100.8/dvwa/.git/HEAD",1.3.6.1.4.1.25623.1.0.111084,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,98fcad6b-1eca-442a-922e-937211b0da11,"Based on the information provided in this files an attacker might
  be able to gather additional info about the structure of the system and its applications.","Restrict access to the Admin Pages for authorized systems only.","","Currently the script is checking for files of the following SCM:

  - Git (.git)

  - Mercurial (.hg)

  - Bazaar (.bzr)

  - CVS (CVS/Root)

  - Subversion (.svn)","Check the response if SCM files are accessible.
Details:
Source Control Management (SCM) Files Accessible
(OID: 1.3.6.1.4.1.25623.1.0.111084)
Version used: $Revision: 9727 $
","","","","http://pen-testing.sans.org/blog/pen-testing/2012/12/06/all-your-svn-are-belong-to-us, https://github.com/anantshri/svn-extractor, https://blog.skullsecurity.org/2012/using-git-clone-to-get-pwn3d, https://blog.netspi.com/dumping-git-data-from-misconfigured-web-servers/, http://resources.infosecinstitute.com/hacking-svn-git-and-mercurial/"
192.168.100.8,,80,tcp,5.0,Medium,"Mitigation","Source Control Management (SCM) Files Accessible","The script attempts to identify files of a SCM accessible
  at the webserver.","The following SCM files were identified:

http://192.168.100.8/dvwa/.git/config
http://192.168.100.8/dvwa/.git/description
http://192.168.100.8/dvwa/.git/HEAD
http://192.168.100.8/MCIR/.git/config
http://192.168.100.8/MCIR/.git/description
http://192.168.100.8/MCIR/.git/HEAD
http://192.168.100.8/zapwave/.svn/wc.db
http://192.168.100.8/mutillidae/.git/config
http://192.168.100.8/mutillidae/.git/description
http://192.168.100.8/mutillidae/.git/HEAD",1.3.6.1.4.1.25623.1.0.111084,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,39d4b859-0873-4cf4-9e21-0a53b79901bd,"Based on the information provided in this files an attacker might
  be able to gather additional info about the structure of the system and its applications.","Restrict access to the Admin Pages for authorized systems only.","","Currently the script is checking for files of the following SCM:

  - Git (.git)

  - Mercurial (.hg)

  - Bazaar (.bzr)

  - CVS (CVS/Root)

  - Subversion (.svn)","Check the response if SCM files are accessible.
Details:
Source Control Management (SCM) Files Accessible
(OID: 1.3.6.1.4.1.25623.1.0.111084)
Version used: $Revision: 9727 $
","","","","http://pen-testing.sans.org/blog/pen-testing/2012/12/06/all-your-svn-are-belong-to-us, https://github.com/anantshri/svn-extractor, https://blog.skullsecurity.org/2012/using-git-clone-to-get-pwn3d, https://blog.netspi.com/dumping-git-data-from-misconfigured-web-servers/, http://resources.infosecinstitute.com/hacking-svn-git-and-mercurial/"
192.168.100.8,,443,tcp,5.0,Medium,"VendorFix","Tiki Wiki CMS Groupware Input Sanitation Weakness Vulnerability","The host is installed with Tiki Wiki CMS Groupware and is prone to input sanitation
  weakness vulnerability.","Installed version: 1.9.5
Fixed version:     2.2",1.3.6.1.4.1.25623.1.0.800315,"CVE-2008-5318, CVE-2008-5319",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,4eedaf5b-f663-4ccd-a2c3-eba35cc60b65,"Successful exploitation could allow arbitrary code execution in the context
  of an affected site.","Upgrade to version 2.2 or later.","Tiki Wiki CMS Groupware version prior to 2.2 on all running platform","The vulnerability is due to input validation error in tiki-error.php
  which fails to sanitise before being returned to the user.","
Details:
Tiki Wiki CMS Groupware Input Sanitation Weakness Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.800315)
Version used: $Revision: 14010 $
","Product: cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Method: Tiki Wiki CMS Groupware Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.901001)
","","","http://secunia.com/advisories/32341, http://info.tikiwiki.org/tiki-read_article.php?articleId=41"
192.168.100.8,,80,tcp,5.0,Medium,"VendorFix","Tiki Wiki CMS Groupware Input Sanitation Weakness Vulnerability","The host is installed with Tiki Wiki CMS Groupware and is prone to input sanitation
  weakness vulnerability.","Installed version: 1.9.5
Fixed version:     2.2",1.3.6.1.4.1.25623.1.0.800315,"CVE-2008-5318, CVE-2008-5319",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,6db38779-fd07-49a9-a36a-c6f4fbc26e3f,"Successful exploitation could allow arbitrary code execution in the context
  of an affected site.","Upgrade to version 2.2 or later.","Tiki Wiki CMS Groupware version prior to 2.2 on all running platform","The vulnerability is due to input validation error in tiki-error.php
  which fails to sanitise before being returned to the user.","
Details:
Tiki Wiki CMS Groupware Input Sanitation Weakness Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.800315)
Version used: $Revision: 14010 $
","Product: cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Method: Tiki Wiki CMS Groupware Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.901001)
","","","http://secunia.com/advisories/32341, http://info.tikiwiki.org/tiki-read_article.php?articleId=41"
192.168.100.8,,443,tcp,5.0,Medium,"Mitigation","SSL/TLS: Certificate Expired","The remote server's SSL/TLS certificate has already expired.","The certificate of the remote service expired on 2022-12-31 21:12:38.

Certificate details:
subject ...: CN=owaspbwa
subject alternative names (SAN):
None
issued by .: CN=owaspbwa
serial ....: 00E6870DDD72C2B9E7
valid from : 2013-01-02 21:12:38 UTC
valid until: 2022-12-31 21:12:38 UTC
fingerprint (SHA-1): E469E1F2987740C33AECEE7CF630CA1931BE05AE
fingerprint (SHA-256): B0945E8208949294EC14B1FCD2998BF148333EBB7D34135188E298B4FE2D46B2",1.3.6.1.4.1.25623.1.0.103955,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,df781c15-223b-4617-a039-28a0b77b315c,"","Replace the SSL/TLS certificate by a new one.","","This script checks expiry dates of certificates associated with
  SSL/TLS-enabled services on the target and reports whether any have already expired.","
Details:
SSL/TLS: Certificate Expired
(OID: 1.3.6.1.4.1.25623.1.0.103955)
Version used: $Revision: 11103 $
","","","",""
192.168.100.8,,443,tcp,5.0,Medium,"VendorFix","Joomla! Core LDAP Information Disclosure Vulnerability Nov17","This host is running Joomla and is prone
  to an information disclosure vulnerability.","Installed version: 1.5.15
Fixed version:     3.8.2",1.3.6.1.4.1.25623.1.0.811896,"CVE-2017-14596",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,9267172f-6947-4ebe-ba0e-91507c5113b8,"Successfully exploiting this issue allow
  remote attackers to disclose username and password.","Upgrade to Joomla version 3.8.2 or later.","Joomla core version 1.5.0 through 3.8.1","The flaw exists due to an inadequate
  escaping in the LDAP authentication plugin.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! Core LDAP Information Disclosure Vulnerability Nov17
(OID: 1.3.6.1.4.1.25623.1.0.811896)
Version used: $Revision: 11983 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","100898","CB-K17/1899, CB-K17/1591, DFN-CERT-2017-1977, DFN-CERT-2017-1663","https://developer.joomla.org/security-centre/714-20171101-core-ldap-information-disclosure.html, https://blog.ripstech.com/2017/joomla-takeover-in-20-seconds-with-ldap-injection-cve-2017-14596, https://www.joomla.org"
192.168.100.8,,80,tcp,5.0,Medium,"VendorFix","Joomla! Core LDAP Information Disclosure Vulnerability Nov17","This host is running Joomla and is prone
  to an information disclosure vulnerability.","Installed version: 1.5.15
Fixed version:     3.8.2",1.3.6.1.4.1.25623.1.0.811896,"CVE-2017-14596",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,99dbaaa7-1899-42dd-916f-58f8ff4dda54,"Successfully exploiting this issue allow
  remote attackers to disclose username and password.","Upgrade to Joomla version 3.8.2 or later.","Joomla core version 1.5.0 through 3.8.1","The flaw exists due to an inadequate
  escaping in the LDAP authentication plugin.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! Core LDAP Information Disclosure Vulnerability Nov17
(OID: 1.3.6.1.4.1.25623.1.0.811896)
Version used: $Revision: 11983 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","100898","CB-K17/1899, CB-K17/1591, DFN-CERT-2017-1977, DFN-CERT-2017-1663","https://developer.joomla.org/security-centre/714-20171101-core-ldap-information-disclosure.html, https://blog.ripstech.com/2017/joomla-takeover-in-20-seconds-with-ldap-injection-cve-2017-14596, https://www.joomla.org"
192.168.100.8,,443,tcp,5.0,Medium,"Workaround","MacOS X Finder .DS_Store Information Disclosure","MacOS X creates a hidden file '.DS_Store', in each directory that has been viewed
  with the 'Finder'. This file contains a list of the contents of the directory, giving an attacker
  information on the structure and contents of your website.","The following files were identified:

https://192.168.100.8/cyclone/uploads/.DS_Store
https://192.168.100.8/cyclone/.DS_Store",1.3.6.1.4.1.25623.1.0.10756,"CVE-2016-1776, CVE-2018-6470",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,9acbae73-f540-4258-9a5d-e7fecaa5a5e6,"","Block access to hidden files (starting with a dot) within your webservers
  configuration","","","
Details:
MacOS X Finder '.DS_Store' Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.10756)
Version used: $Revision: 9094 $
","","3316,  3324,  85054","CB-K16/0450, DFN-CERT-2016-0489","https://www.securityfocus.com/bid/3316, https://www.securityfocus.com/bid/3324, https://www.securityfocus.com/bid/85054, https://helpx.adobe.com/dreamweaver/kb/remove-ds-store-files-mac.html, https://support.apple.com/en-us/HT1629"
192.168.100.8,,80,tcp,5.0,Medium,"Workaround","MacOS X Finder .DS_Store Information Disclosure","MacOS X creates a hidden file '.DS_Store', in each directory that has been viewed
  with the 'Finder'. This file contains a list of the contents of the directory, giving an attacker
  information on the structure and contents of your website.","The following files were identified:

http://192.168.100.8/cyclone/.DS_Store
http://192.168.100.8/cyclone/uploads/.DS_Store",1.3.6.1.4.1.25623.1.0.10756,"CVE-2016-1776, CVE-2018-6470",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,13b8ab47-5b29-4980-955b-691549cc4ee9,"","Block access to hidden files (starting with a dot) within your webservers
  configuration","","","
Details:
MacOS X Finder '.DS_Store' Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.10756)
Version used: $Revision: 9094 $
","","3316,  3324,  85054","CB-K16/0450, DFN-CERT-2016-0489","https://www.securityfocus.com/bid/3316, https://www.securityfocus.com/bid/3324, https://www.securityfocus.com/bid/85054, https://helpx.adobe.com/dreamweaver/kb/remove-ds-store-files-mac.html, https://support.apple.com/en-us/HT1629"
192.168.100.8,,443,tcp,5.0,Medium,"VendorFix","Tiki Wiki CMS Groupware fixedURLData Local File Inclusion Vulnerability","The host is installed with Tiki Wiki CMS Groupware
  and is prone to a local file inclusion vulnerability.","Installed version: 1.9.5
Fixed version:     12.11",1.3.6.1.4.1.25623.1.0.108064,"CVE-2016-10143",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,3b1cccf0-ade3-44c9-ae1b-022065526548,"Successful exploitation will allow an user having access to the
  admin backend to gain access to arbitrary files and to compromise the application.","Upgrade to Tiki Wiki CMS Groupware version 12.11 LTS, 15.4 or
  later.","Tiki Wiki CMS Groupware versions:

  - below 12.11 LTS

  - 13.x, 14.x and 15.x below 15.4","The Flaw is due to improper sanitization
  of input passed to the 'fixedURLData' parameter of the 'display_banner.php' script.","Checks if a vulnerable version is present on the target host.
Details:
Tiki Wiki CMS Groupware 'fixedURLData' Local File Inclusion Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.108064)
Version used: $Revision: 11863 $
","Product: cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Method: Tiki Wiki CMS Groupware Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.901001)
","","","http://tiki.org/article445-Security-updates-Tiki-16-2-15-4-and-Tiki-12-11-released, https://sourceforge.net/p/tikiwiki/code/60308/, https://tiki.org"
192.168.100.8,,80,tcp,5.0,Medium,"VendorFix","Tiki Wiki CMS Groupware fixedURLData Local File Inclusion Vulnerability","The host is installed with Tiki Wiki CMS Groupware
  and is prone to a local file inclusion vulnerability.","Installed version: 1.9.5
Fixed version:     12.11",1.3.6.1.4.1.25623.1.0.108064,"CVE-2016-10143",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,e0d97c64-a27a-43da-976b-adffba1dfd30,"Successful exploitation will allow an user having access to the
  admin backend to gain access to arbitrary files and to compromise the application.","Upgrade to Tiki Wiki CMS Groupware version 12.11 LTS, 15.4 or
  later.","Tiki Wiki CMS Groupware versions:

  - below 12.11 LTS

  - 13.x, 14.x and 15.x below 15.4","The Flaw is due to improper sanitization
  of input passed to the 'fixedURLData' parameter of the 'display_banner.php' script.","Checks if a vulnerable version is present on the target host.
Details:
Tiki Wiki CMS Groupware 'fixedURLData' Local File Inclusion Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.108064)
Version used: $Revision: 11863 $
","Product: cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Method: Tiki Wiki CMS Groupware Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.901001)
","","","http://tiki.org/article445-Security-updates-Tiki-16-2-15-4-and-Tiki-12-11-released, https://sourceforge.net/p/tikiwiki/code/60308/, https://tiki.org"
192.168.100.8,,80,tcp,5.0,Medium,"VendorFix","WebCalendar User Account Enumeration Disclosure Issue","The version of WebCalendar on the remote host is prone to a user
  account enumeration weakness in that in response to login attempts it returns different error messages
  depending on whether the user exists or the password is invalid.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.80021,"CVE-2006-2247",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,630e3544-72ab-40f8-be15-6922c393b6bc,"","Upgrade to WebCalendar 1.0.4 or later.","","","
Details:
WebCalendar User Account Enumeration Disclosure Issue
(OID: 1.3.6.1.4.1.25623.1.0.80021)
Version used: $Revision: 14240 $
","","17853","","OSVDB:25280, http://www.securityfocus.com/archive/1/433053/30/0/threaded, http://www.securityfocus.com/archive/1/436263/30/0/threaded, http://sourceforge.net/project/shownotes.php?group_id=3870&release_id=423010"
192.168.100.8,,443,tcp,5.0,Medium,"Mitigation","Sensitive File Disclosure (HTTP)","The script attempts to identify files containing sensitive data at the remote web server like e.g.:

  - software (Blog, CMS) configuration

  - database backup files

  - SSH or SSL/TLS Private-Keys","The following files containing sensitive information were identified (URL:Description):

https://192.168.100.8/redmine/config/database.yml:Rails Database Configuration File containing a username and/or password.",1.3.6.1.4.1.25623.1.0.107305,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,b41e8702-3c76-4f26-b9f5-da2d87e22191,"Based on the information provided in this files an attacker might
  be able to gather additional info and/or sensitive data like usernames and passwords.","The sensitive files shouldn't be accessible via a web server.
  Restrict access to it or remove it completely.","","","Enumerate the remote web server and check if sensitive files are accessible.
Details:
Sensitive File Disclosure (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.107305)
Version used: 2019-03-27T07:53:00+0000
","","","",""
192.168.100.8,,443,tcp,5.0,Medium,"WillNotFix","awiki Multiple Local File Include Vulnerabilities","awiki is prone to multiple local file-include vulnerabilities because
  it fails to properly sanitize user-supplied input.","Vulnerable url: https://192.168.100.8/mutillidae/index.php?page=/etc/passwd",1.3.6.1.4.1.25623.1.0.103210,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,1b4875cc-bee0-4661-b7bd-a267fa5ec991,"An attacker can exploit this vulnerability to obtain potentially
  sensitive information and execute arbitrary local scripts in the context of the webserver process.
  This may allow the attacker to compromise the application and the host. Other attacks are also possible.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","awiki 20100125 is vulnerable. Other versions may also be affected.","","
Details:
awiki Multiple Local File Include Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.103210)
Version used: $Revision: 10741 $
","","49187","","https://www.exploit-db.com/exploits/36047/, http://www.securityfocus.com/bid/49187, http://www.kobaonline.com/awiki/"
192.168.100.8,,80,tcp,5.0,Medium,"WillNotFix","awiki Multiple Local File Include Vulnerabilities","awiki is prone to multiple local file-include vulnerabilities because
  it fails to properly sanitize user-supplied input.","Vulnerable url: http://192.168.100.8/mutillidae/index.php?page=/etc/passwd",1.3.6.1.4.1.25623.1.0.103210,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,521adaef-7c7c-4f55-b1b2-9f065f4d12bb,"An attacker can exploit this vulnerability to obtain potentially
  sensitive information and execute arbitrary local scripts in the context of the webserver process.
  This may allow the attacker to compromise the application and the host. Other attacks are also possible.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","awiki 20100125 is vulnerable. Other versions may also be affected.","","
Details:
awiki Multiple Local File Include Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.103210)
Version used: $Revision: 10741 $
","","49187","","https://www.exploit-db.com/exploits/36047/, http://www.securityfocus.com/bid/49187, http://www.kobaonline.com/awiki/"
192.168.100.8,,8080,tcp,4.8,Medium,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following URLs requires Basic Authentication (URL:realm name):

http://192.168.100.8:8080/host-manager/html:""Tomcat Host Manager Application""
http://192.168.100.8:8080/manager/html:""Tomcat Manager Application""
http://192.168.100.8:8080/manager/status:""Tomcat Manager Application""",1.3.6.1.4.1.25623.1.0.108440,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,76271cf1-58a7-4850-be16-1b74b0cddbc1,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: $Revision: 10726 $
","","","","https://www.owasp.org/index.php/Top_10_2013-A2-Broken_Authentication_and_Session_Management, https://www.owasp.org/index.php/Top_10_2013-A6-Sensitive_Data_Exposure, https://cwe.mitre.org/data/definitions/319.html"
192.168.100.8,,80,tcp,4.8,Medium,"Workaround","Cleartext Transmission of Sensitive Information via HTTP","The host / application transmits sensitive information (username, passwords) in
  cleartext via HTTP.","The following input fields where identified (URL:input name):

http://192.168.100.8/AppSensorDemo/login.jsp:password
http://192.168.100.8/bodgeit/login.jsp:password
http://192.168.100.8/cyclone/signin:session[password]
http://192.168.100.8/cyclone/signup:user[password]
http://192.168.100.8/ghost/:pass
http://192.168.100.8/phpmyadmin/:pma_password
http://192.168.100.8/phpmyadmin/?D=A:pma_password
http://192.168.100.8/shepherd/login.jsp:pwd
http://192.168.100.8/wordpress/wp-login.php:pwd",1.3.6.1.4.1.25623.1.0.108440,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,eab80bde-56fa-45b7-b810-c51b67f3b151,"An attacker could use this situation to compromise or eavesdrop on the
  HTTP communication between the client and the server using a man-in-the-middle attack to get access to
  sensitive data like usernames or passwords.","Enforce the transmission of sensitive data via an encrypted SSL/TLS connection.
  Additionally make sure the host / application is redirecting all users to the secured SSL/TLS connection before
  allowing to input sensitive data into the mentioned functions.","Hosts / applications which doesn't enforce the transmission of sensitive data via an
  encrypted SSL/TLS connection.","","Evaluate previous collected information and check if the host / application is not
  enforcing the transmission of sensitive data via an encrypted SSL/TLS connection.

  The script is currently checking the following:

  - HTTP Basic Authentication (Basic Auth)

  - HTTP Forms (e.g. Login) with input field of type 'password'
Details:
Cleartext Transmission of Sensitive Information via HTTP
(OID: 1.3.6.1.4.1.25623.1.0.108440)
Version used: $Revision: 10726 $
","","","","https://www.owasp.org/index.php/Top_10_2013-A2-Broken_Authentication_and_Session_Management, https://www.owasp.org/index.php/Top_10_2013-A6-Sensitive_Data_Exposure, https://cwe.mitre.org/data/definitions/319.html"
192.168.100.8,,22,tcp,4.3,Medium,"Mitigation","SSH Weak Encryption Algorithms Supported","The remote SSH server is configured to allow weak encryption algorithms.","The following weak client-to-server encryption algorithms are supported by the remote service:

3des-cbc
aes128-cbc
aes192-cbc
aes256-cbc
arcfour
arcfour128
arcfour256
blowfish-cbc
cast128-cbc
rijndael-cbc@lysator.liu.se


The following weak server-to-client encryption algorithms are supported by the remote service:

3des-cbc
aes128-cbc
aes192-cbc
aes256-cbc
arcfour
arcfour128
arcfour256
blowfish-cbc
cast128-cbc
rijndael-cbc@lysator.liu.se",1.3.6.1.4.1.25623.1.0.105611,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,b78bc3fc-6531-4577-b162-d5267b796f45,"","Disable the weak encryption algorithms.","","The `arcfour` cipher is the Arcfour stream cipher with 128-bit keys.
  The Arcfour cipher is believed to be compatible with the RC4 cipher [SCHNEIER]. Arcfour (and RC4) has problems
  with weak keys, and should not be used anymore.

  The `none` algorithm specifies that no encryption is to be done.
  Note that this method provides no confidentiality protection, and it
  is NOT RECOMMENDED to use it.

  A vulnerability exists in SSH messages that employ CBC mode that may allow an attacker to recover plaintext from a block of ciphertext.","Check if remote ssh service supports Arcfour, none or CBC ciphers.
Details:
SSH Weak Encryption Algorithms Supported
(OID: 1.3.6.1.4.1.25623.1.0.105611)
Version used: $Revision: 13581 $
","","","","https://tools.ietf.org/html/rfc4253#section-6.3, https://www.kb.cert.org/vuls/id/958563"
192.168.100.8,,443,tcp,4.3,Medium,"Mitigation","SSL/TLS: Deprecated SSLv2 and SSLv3 Protocol Detection","It was possible to detect the usage of the
  deprecated SSLv2 and/or SSLv3 protocol on this system.","In addition to TLSv1.0+ the service is also providing the deprecated SSLv3 protocol and supports one or more ciphers. Those supported ciphers can be found in the 'SSL/TLS: Report Weak and Supported Ciphers' (OID: 1.3.6.1.4.1.25623.1.0.802067) NVT.",1.3.6.1.4.1.25623.1.0.111012,"CVE-2016-0800, CVE-2014-3566",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,70954edd-9b82-4bfa-ad12-d5425316586d,"An attacker might be able to use the known
  cryptographic flaws to eavesdrop the connection between clients and the service
  to get access to sensitive data transferred within the secured connection.","It is recommended to disable the deprecated
  SSLv2 and/or SSLv3 protocols in favor of the TLSv1+ protocols. Please see the
  references for more information.","All services providing an encrypted communication
  using the SSLv2 and/or SSLv3 protocols.","The SSLv2 and SSLv3 protocols containing
  known cryptographic flaws like:

  - Padding Oracle On Downgraded Legacy Encryption (POODLE, CVE-2014-3566)

  - Decrypting RSA with Obsolete and Weakened eNcryption (DROWN, CVE-2016-0800)","Check the used protocols of the services
  provided by this system.
Details:
SSL/TLS: Deprecated SSLv2 and SSLv3 Protocol Detection
(OID: 1.3.6.1.4.1.25623.1.0.111012)
Version used: $Revision: 5547 $
","","","CB-K18/0094, CB-K17/1198, CB-K17/1196, CB-K16/1828, CB-K16/1438, CB-K16/1384, CB-K16/1141, CB-K16/1107, CB-K16/1102, CB-K16/0792, CB-K16/0599, CB-K16/0597, CB-K16/0459, CB-K16/0456, CB-K16/0433, CB-K16/0424, CB-K16/0415, CB-K16/0413, CB-K16/0374, CB-K16/0367, CB-K16/0331, CB-K16/0329, CB-K16/0328, CB-K16/0156, CB-K15/1514, CB-K15/1358, CB-K15/1021, CB-K15/0972, CB-K15/0637, CB-K15/0590, CB-K15/0525, CB-K15/0393, CB-K15/0384, CB-K15/0287, CB-K15/0252, CB-K15/0246, CB-K15/0237, CB-K15/0118, CB-K15/0110, CB-K15/0108, CB-K15/0080, CB-K15/0078, CB-K15/0077, CB-K15/0075, CB-K14/1617, CB-K14/1581, CB-K14/1537, CB-K14/1479, CB-K14/1458, CB-K14/1342, CB-K14/1314, CB-K14/1313, CB-K14/1311, CB-K14/1304, CB-K14/1296, DFN-CERT-2018-0096, DFN-CERT-2017-1238, DFN-CERT-2017-1236, DFN-CERT-2016-1929, DFN-CERT-2016-1527, DFN-CERT-2016-1468, DFN-CERT-2016-1216, DFN-CERT-2016-1174, DFN-CERT-2016-1168, DFN-CERT-2016-0884, DFN-CERT-2016-0841, DFN-CERT-2016-0644, DFN-CERT-2016-0642, DFN-CERT-2016-0496, DFN-CERT-2016-0495, DFN-CERT-2016-0465, DFN-CERT-2016-0459, DFN-CERT-2016-0453, DFN-CERT-2016-0451, DFN-CERT-2016-0415, DFN-CERT-2016-0403, DFN-CERT-2016-0388, DFN-CERT-2016-0360, DFN-CERT-2016-0359, DFN-CERT-2016-0357, DFN-CERT-2016-0171, DFN-CERT-2015-1431, DFN-CERT-2015-1075, DFN-CERT-2015-1026, DFN-CERT-2015-0664, DFN-CERT-2015-0548, DFN-CERT-2015-0404, DFN-CERT-2015-0396, DFN-CERT-2015-0259, DFN-CERT-2015-0254, DFN-CERT-2015-0245, DFN-CERT-2015-0118, DFN-CERT-2015-0114, DFN-CERT-2015-0083, DFN-CERT-2015-0082, DFN-CERT-2015-0081, DFN-CERT-2015-0076, DFN-CERT-2014-1717, DFN-CERT-2014-1680, DFN-CERT-2014-1632, DFN-CERT-2014-1564, DFN-CERT-2014-1542, DFN-CERT-2014-1414, DFN-CERT-2014-1366, DFN-CERT-2014-1354","https://www.enisa.europa.eu/activities/identity-and-trust/library/deliverables/algorithms-key-sizes-and-parameters-report, https://bettercrypto.org/, https://mozilla.github.io/server-side-tls/ssl-config-generator/, https://drownattack.com/, https://www.imperialviolet.org/2014/10/14/poodle.html"
